obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),fik,S(a.u.),log_gf,Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,
"=""366.231""","=""0.003""","=""366.22678""","=""0.00019""","=""0.005""","=""27305.15""","=""800""","=""2.4162e+02""","=""1.1672e-04""","=""1.1258e-02""","=""-3.02976""",AAA,"=""0.74960060""","=""[0.998426492]""","=""2""","=""""","=""""","=""31""","=""""","=""""",8,1922,,
"=""366.326""","=""0.010""","=""366.33056""","=""0.00019""","=""-0.004""","=""27298.1""","=""1100bl""","=""2.8474e+02""","=""1.2889e-04""","=""1.2435e-02""","=""-2.98669""",AAA,"=""0.74960060""","=""[0.998356002]""","=""2""","=""""","=""""","=""30""","=""""","=""""",8,1800,,
"=""366.445""","=""0.010""","=""366.44533""","=""0.00019""","=""0.000""","=""27289.2""","=""900bl""","=""3.3742e+02""","=""1.4281e-04""","=""1.3783e-02""","=""-2.94214""",AAA,"=""0.74960060""","=""[0.998278095]""","=""2""","=""""","=""""","=""29""","=""""","=""""",8,1682,,
"=""366.569""","=""0.010""","=""366.57269""","=""0.00019""","=""-0.003""","=""27280.0""","=""1000bl""","=""4.0224e+02""","=""1.5882e-04""","=""1.5333e-02""","=""-2.89600""",AAA,"=""0.74960060""","=""[0.998191692]""","=""2""","=""""","=""""","=""28""","=""""","=""""",8,1568,,
"=""366.712""","=""0.003""","=""366.71458""","=""0.00019""","=""-0.002""","=""27269.32""","=""900""","=""4.8261e+02""","=""1.7732e-04""","=""1.7126e-02""","=""-2.84814""",AAA,"=""0.74960060""","=""[0.998095512]""","=""2""","=""""","=""""","=""27""","=""""","=""""",8,1458,,
"=""366.877""","=""0.003""","=""366.87327""","=""0.00019""","=""0.004""","=""27257.06""","=""1000""","=""5.8304e+02""","=""1.9882e-04""","=""1.9211e-02""","=""-2.79845""",AAA,"=""0.74960060""","=""[0.997988023]""","=""2""","=""""","=""""","=""26""","=""""","=""""",8,1352,,
"=""367.050""","=""0.003""","=""367.05155""","=""0.00019""","=""-0.002""","=""27244.28""","=""1300""","=""7.0963e+02""","=""2.2395e-04""","=""2.1649e-02""","=""-2.74676""",AAA,"=""0.74960060""","=""[0.997867378]""","=""2""","=""""","=""""","=""25""","=""""","=""""",8,1250,,
"=""367.237""","=""0.010""","=""367.25279""","=""0.00019""","=""-0.016""","=""27230.4""","=""1200bl""","=""8.7069e+02""","=""2.5352e-04""","=""2.4521e-02""","=""-2.69290""",AAA,"=""0.74960060""","=""[0.997731342]""","=""2""","=""""","=""""","=""24""","=""""","=""""",8,1152,,
"=""367.486""","=""0.003""","=""367.48110""","=""0.00019""","=""0.005""","=""27211.95""","=""1300""","=""1.0777e+03""","=""2.8854e-04""","=""2.7926e-02""","=""-2.63670""",AAA,"=""0.74960060""","=""[0.997577177]""","=""2""","=""""","=""""","=""23""","=""""","=""""",8,1058,,
"=""367.7423""","=""0.0006""","=""367.74160""","=""0.00019""","=""0.0007""","=""27192.96""","=""1400""","=""1.3467e+03""","=""3.3036e-04""","=""3.1996e-02""","=""-2.57792""",AAA,"=""0.74960060""","=""[0.997401516]""","=""2""","=""""","=""""","=""22""","=""""","=""""",8,968,,
"=""368.0418""","=""0.0006""","=""368.04065""","=""0.00019""","=""0.0011""","=""27170.84""","=""1700""","=""1.7005e+03""","=""3.8070e-04""","=""3.6902e-02""","=""-2.51632""",AAA,"=""0.74960060""","=""[0.997200168]""","=""2""","=""""","=""""","=""21""","=""""","=""""",8,882,,
"=""368.3871""","=""0.0006""","=""368.38627""","=""0.00019""","=""0.0009""","=""27145.36""","=""1700""","=""2.1719e+03""","=""4.4187e-04""","=""4.2871e-02""","=""-2.45161""",AAA,"=""0.74960060""","=""[0.996967867]""","=""2""","=""""","=""""","=""20""","=""""","=""""",8,800,,
"=""368.7881""","=""0.0006""","=""368.78871""","=""0.00019""","=""-0.0007""","=""27115.85""","=""2000""","=""2.8093e+03""","=""5.1695e-04""","=""5.0210e-02""","=""-2.38346""",AAA,"=""0.74960060""","=""[0.996697931]""","=""2""","=""""","=""""","=""19""","=""""","=""""",8,722,,
"=""369.2602""","=""0.0006""","=""369.26119""","=""0.00019""","=""-0.0010""","=""27081.18""","=""2300""","=""3.6851e+03""","=""6.1017e-04""","=""5.9340e-02""","=""-2.31146""",AAA,"=""0.74960060""","=""[0.996381766]""","=""2""","=""""","=""""","=""18""","=""""","=""""",8,648,,
"=""369.8209""","=""0.0006""","=""369.82103""","=""0.00019""","=""-0.0001""","=""27040.11""","=""2300""","=""4.9101e+03""","=""7.2738e-04""","=""7.0846e-02""","=""-2.23515""",AAA,"=""0.74960060""","=""[0.996008181]""","=""2""","=""""","=""""","=""17""","=""""","=""""",8,578,,
"=""370.4913""","=""0.0006""","=""370.49132""","=""0.00019""","="" 0.0000""","=""26991.19""","=""2800""","=""6.6583e+03""","=""8.7690e-04""","=""8.5564e-02""","=""-2.15396""",AAA,"=""0.74960060""","=""[0.995562381]""","=""2""","=""""","=""""","=""16""","=""""","=""""",8,512,,
"=""371.3034""","=""0.0006""","=""371.30334""","=""0.00019""","=""0.0001""","=""26932.15""","=""3300""","=""9.2102e+03""","=""1.0708e-03""","=""1.0471e-01""","=""-2.06721""",AAA,"=""0.74960060""","=""[0.995024479]""","=""2""","=""""","=""""","=""15""","=""""","=""""",8,450,,
"=""372.3005""","=""0.0006""","=""372.30035""","=""0.00019""","=""0.0001""","=""26860.03""","=""5000""","=""1.3032e+04""","=""1.3269e-03""","=""1.3011e-01""","=""-1.97407""",AAA,"=""0.74960060""","=""[0.994367240]""","=""2""","=""""","=""""","=""14""","=""""","=""""",8,392,,
"=""373.5431""","=""0.0006""","=""373.54365""","=""0.00020""","=""-0.0006""","=""26770.67""","=""6000""","=""1.8927e+04""","=""1.6728e-03""","=""1.6457e-01""","=""-1.87346""",AAA,"=""0.74960060""","=""[0.993552563]""","=""2""","=""""","=""""","=""13""","=""""","=""""",8,338,,
"=""""","=""""","=""375.119082508""","=""0.000000006""","=""""","=""26658.2012654""","=""""","=""4.8748e+05""","=""2.0568e-03""","=""5.0799e-02""","=""-2.38579""",AAA,"=""0.749598426045""","=""0.992525830455""","=""2p""","=""2P*""","=""1/2""","=""12d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""375.1191039""","=""0.0000006""","=""""","=""26658.19975""","=""""","=""2.9828e+04""","=""6.2925e-05""","=""1.5542e-03""","=""-3.90015""",AAA,"=""0.749598426045""","=""[0.9925258166]""","=""2p""","=""2P*""","=""1/2""","=""12s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""375.11934""","=""0.00008""","=""""","=""26658.183""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""375.119571113""","=""0.000000003""","=""375.119571087""","=""0.000000003""","=""0.000000026""","=""26658.16654414""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.9925258356006""","=""2s""","=""2S""","=""1/2""","=""12d""","=""2D""","=""5/2""",2,6,E2,
"=""""","=""""","=""375.1195789""","=""0.0000006""","=""""","=""26658.16599""","=""""","=""3.5544e+05""","=""1.4997e-03""","=""3.7040e-02""","=""-2.52298""",AAA,"=""0.7495987475945""","=""[0.9925258306]""","=""2s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""3/2""",2,4,,
"=""375.119579060""","=""0.000000005""","=""375.119579033""","=""0.000000004""","=""0.000000027""","=""26658.1659794""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.992525830455""","=""2s""","=""2S""","=""1/2""","=""12d""","=""2D""","=""3/2""",2,4,E2,
"=""""","=""""","=""375.1196004""","=""0.0000006""","=""""","=""26658.16446""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""[0.9925258166]""","=""2s""","=""2S""","=""1/2""","=""12s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""375.1196027""","=""0.0000006""","=""""","=""26658.16430""","=""""","=""3.5544e+05""","=""7.4983e-04""","=""1.8520e-02""","=""-2.82401""",AAA,"=""0.7495987475945""","=""[0.9925258152]""","=""2s""","=""2S""","=""1/2""","=""12p""","=""2P*""","=""1/2""",2,2,,
"=""375.1217""","=""0.0006""","=""375.12244""","=""0.00020""","=""-0.0007""","=""26658.02""","=""8000""","=""2.8337e+04""","=""2.1521e-03""","=""2.1261e-01""","=""-1.76406""",AAA,"=""0.74960060""","=""0.992525835""","=""2""","=""""","=""""","=""12""","=""""","=""""",8,288,,
"=""""","=""""","=""375.12174""","=""0.00008""","=""""","=""26658.012""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""375.124223202""","=""0.000000007""","=""""","=""26657.8359420""","=""""","=""5.8495e+05""","=""1.8510e-03""","=""9.1438e-02""","=""-2.13052""",AAA,"=""0.749601760263""","=""0.9925258356006""","=""2p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""375.12422""","=""0.00003""","=""""","=""26657.8359""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""375.124231149""","=""0.000000007""","=""""","=""26657.8353773""","=""""","=""9.7489e+04""","=""2.0567e-04""","=""1.0160e-02""","=""-3.08478""",AAA,"=""0.749601760263""","=""0.992525830455""","=""2p""","=""2P*""","=""3/2""","=""12d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""375.1242525""","=""0.0000006""","=""""","=""26657.83386""","=""""","=""5.9661e+04""","=""6.2932e-05""","=""3.1087e-03""","=""-3.59907""",AAA,"=""0.749601760263""","=""[0.9925258166]""","=""2p""","=""2P*""","=""3/2""","=""12s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""377.1674243""","=""0.0000003""","=""""","=""26513.424423""","=""""","=""6.3659e+05""","=""2.7153e-03""","=""6.7430e-02""","=""-2.26515""",AAA,"=""0.749598426045""","=""[0.99120652679]""","=""2p""","=""2P*""","=""1/2""","=""11d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""377.1674523""","=""0.0000006""","=""""","=""26513.42246""","=""""","=""3.8791e+04""","=""8.2729e-05""","=""2.0545e-03""","=""-3.78131""",AAA,"=""0.749598426045""","=""[0.9912065089]""","=""2p""","=""2P*""","=""1/2""","=""11s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""377.16768""","=""0.00009""","=""""","=""26513.406""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""377.1679261""","=""0.0000006""","=""""","=""26513.38915""","=""""","=""4.6164e+05""","=""1.9691e-03""","=""4.8899e-02""","=""-2.40471""",AAA,"=""0.7495987475945""","=""[0.9912065269]""","=""2s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""377.1679543""","=""0.0000006""","=""""","=""26513.38717""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""[0.9912065089]""","=""2s""","=""2S""","=""1/2""","=""11s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""377.1679574""","=""0.0000006""","=""""","=""26513.38695""","=""""","=""4.6164e+05""","=""9.8453e-04""","=""2.4449e-02""","=""-2.70574""",AAA,"=""0.7495987475945""","=""[0.9912065069]""","=""2s""","=""2S""","=""1/2""","=""11p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""377.17012""","=""0.00009""","=""""","=""26513.235""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""377.1704""","=""0.0006""","=""377.17081""","=""0.00020""","=""-0.0004""","=""26513.21""","=""9000""","=""4.3972e+04""","=""2.8368e-03""","=""2.8179e-01""","=""-1.64408""",AAA,"=""0.74960060""","=""0.991206536""","=""2""","=""""","=""""","=""11""","=""""","=""""",8,242,,
"=""""","=""""","=""377.1726189""","=""0.0000003""","=""""","=""26513.059269""","=""""","=""7.6387e+05""","=""2.4437e-03""","=""1.2137e-01""","=""-2.00989""",AAA,"=""0.749601760263""","=""[0.99120653348]""","=""2p""","=""2P*""","=""3/2""","=""11d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""377.17262""","=""0.00003""","=""""","=""26513.0589""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""377.1726294""","=""0.0000003""","=""""","=""26513.058535""","=""""","=""1.2731e+05""","=""2.7152e-04""","=""1.3486e-02""","=""-2.96414""",AAA,"=""0.749601760263""","=""[0.99120652679]""","=""2p""","=""2P*""","=""3/2""","=""11d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""377.1726573""","=""0.0000006""","=""""","=""26513.05657""","=""""","=""7.7590e+04""","=""8.2740e-05""","=""4.1095e-03""","=""-3.48023""",AAA,"=""0.749601760263""","=""[0.9912065089]""","=""2p""","=""2P*""","=""3/2""","=""11s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""379.894836051""","=""0.000000025""","=""""","=""26323.0743117""","=""""","=""8.5386e+05""","=""3.6949e-03""","=""9.2421e-02""","=""-2.13137""",AAA,"=""0.749598426045""","=""[0.989471928948]""","=""2p""","=""2P*""","=""1/2""","=""10d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""379.8948739""","=""0.0000006""","=""""","=""26323.07169""","=""""","=""5.1748e+04""","=""1.1196e-04""","=""2.8006e-03""","=""-3.64989""",AAA,"=""0.749598426045""","=""[0.9894719050]""","=""2p""","=""2P*""","=""1/2""","=""10s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""379.89510""","=""0.00009""","=""""","=""26323.056""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""379.895331239""","=""0.000000019""","=""379.895331215""","=""0.000000019""","=""0.000000024""","=""26323.0400016""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.989471937841""","=""2s""","=""2S""","=""1/2""","=""10d""","=""2D""","=""5/2""",2,6,E2,
"=""""","=""""","=""379.8953451""","=""0.0000006""","=""""","=""26323.03904""","=""""","=""6.1475e+05""","=""2.6602e-03""","=""6.6540e-02""","=""-2.27406""",AAA,"=""0.7495987475945""","=""[0.9894719291]""","=""2s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""379.8953832""","=""0.0000006""","=""""","=""26323.03640""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""[0.9894719050]""","=""2s""","=""2S""","=""1/2""","=""10s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""379.8953874""","=""0.0000006""","=""""","=""26323.03611""","=""""","=""6.1476e+05""","=""1.3301e-03""","=""3.3271e-02""","=""-2.57508""",AAA,"=""0.7495987475945""","=""[0.9894719024]""","=""2s""","=""2S""","=""1/2""","=""10p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""379.89757""","=""0.00009""","=""""","=""26322.885""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""379.8987""","=""0.0006""","=""379.89827""","=""0.00020""","=""0.0005""","=""26322.80""","=""17000""","=""7.1225e+04""","=""3.8526e-03""","=""3.8546e-01""","=""-1.51116""",AAA,"=""0.74960060""","=""0.989471939""","=""2""","=""""","=""""","=""10""","=""""","=""""",8,200,,
"=""""","=""""","=""379.900102540""","=""0.000000019""","=""""","=""26322.7093995""","=""""","=""1.0246e+06""","=""3.3254e-03""","=""1.6636e-01""","=""-1.87610""",AAA,"=""0.749601760263""","=""0.989471937841""","=""2p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""379.90010""","=""0.00003""","=""""","=""26322.7094""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""379.900116625""","=""0.000000025""","=""""","=""26322.7084236""","=""""","=""1.7076e+05""","=""3.6947e-04""","=""1.8484e-02""","=""-2.83036""",AAA,"=""0.749601760263""","=""[0.989471928948]""","=""2p""","=""2P*""","=""3/2""","=""10d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""379.9001545""","=""0.0000006""","=""""","=""26322.70580""","=""""","=""1.0351e+05""","=""1.1198e-04""","=""5.6021e-03""","=""-3.34879""",AAA,"=""0.749601760263""","=""[0.9894719050]""","=""2p""","=""2P*""","=""3/2""","=""10s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""383.6443947""","=""0.0000003""","=""""","=""26065.805049""","=""""","=""1.1836e+06""","=""5.2234e-03""","=""1.3194e-01""","=""-1.98102""",AAA,"=""0.749598426045""","=""[0.98712751892]""","=""2p""","=""2P*""","=""1/2""","=""9d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""383.6444479""","=""0.0000006""","=""""","=""26065.80144""","=""""","=""7.1201e+04""","=""1.5711e-04""","=""3.9686e-03""","=""-3.50277""",AAA,"=""0.749598426045""","=""[0.9871274860]""","=""2p""","=""2P*""","=""1/2""","=""9s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""383.64468""","=""0.00009""","=""""","=""26065.786""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""383.6449138""","=""0.0000006""","=""""","=""26065.76978""","=""""","=""8.4384e+05""","=""3.7240e-03""","=""9.4068e-02""","=""-2.12796""",AAA,"=""0.7495987475945""","=""[0.9871275191]""","=""2s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""383.6449672""","=""0.0000006""","=""""","=""26065.76615""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""[0.9871274860]""","=""2s""","=""2S""","=""1/2""","=""9s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""383.6449729""","=""0.0000006""","=""""","=""26065.76576""","=""""","=""8.4385e+05""","=""1.8620e-03""","=""4.7034e-02""","=""-2.42899""",AAA,"=""0.7495987475945""","=""[0.9871274825]""","=""2s""","=""2S""","=""1/2""","=""9p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""383.64720""","=""0.00009""","=""""","=""26065.615""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""383.6485""","=""0.0006""","=""383.64789""","=""0.00021""","=""0.0006""","=""26065.53""","=""30000""","=""1.2156e+05""","=""5.4317e-03""","=""5.4882e-01""","=""-1.36197""",AAA,"=""0.74960060""","=""0.987127529""","=""2""","=""""","=""""","=""9""","=""""","=""""",8,162,,
"=""""","=""""","=""383.6497603""","=""0.0000003""","=""""","=""26065.440500""","=""""","=""1.4203e+06""","=""4.7011e-03""","=""2.3750e-01""","=""-1.72574""",AAA,"=""0.749601760263""","=""[0.98712753112]""","=""2p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""383.64977""","=""0.00003""","=""""","=""26065.4401""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""383.6497800""","=""0.0000003""","=""""","=""26065.439161""","=""""","=""2.3671e+05""","=""5.2233e-04""","=""2.6389e-02""","=""-2.68000""",AAA,"=""0.749601760263""","=""[0.98712751892]""","=""2p""","=""2P*""","=""3/2""","=""9d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""383.6498332""","=""0.0000006""","=""""","=""26065.43555""","=""""","=""1.4242e+05""","=""1.5713e-04""","=""7.9385e-03""","=""-3.20167""",AAA,"=""0.749601760263""","=""[0.9871274860]""","=""2p""","=""2P*""","=""3/2""","=""9s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""389.012183558""","=""0.000000006""","=""""","=""25706.1357527""","=""""","=""1.7103e+06""","=""7.7604e-03""","=""1.9877e-01""","=""-1.80908""",AAA,"=""0.749598426045""","=""0.983849971137""","=""2p""","=""2P*""","=""1/2""","=""8d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""389.012261516""","=""0.000000006""","=""""","=""25706.1306012""","=""""","=""1.0180e+05""","=""2.3096e-04""","=""5.9156e-03""","=""-3.33544""",AAA,"=""0.749598426045""","=""0.983849924193""","=""2p""","=""2P*""","=""1/2""","=""8s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""389.01247""","=""0.00009""","=""""","=""25706.117""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""389.012688721""","=""0.000000004""","=""389.012688704""","=""0.000000003""","=""0.000000018""","=""25706.10237246""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.9838499885037""","=""2s""","=""2S""","=""1/2""","=""8d""","=""2D""","=""5/2""",2,6,E2,
"=""""","=""""","=""389.012717403""","=""0.000000009""","=""""","=""25706.1004760""","=""""","=""1.2025e+06""","=""5.4563e-03""","=""1.3976e-01""","=""-1.96207""",AAA,"=""0.7495987475945""","=""[0.983849971222]""","=""2s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""3/2""",2,4,,
"=""389.012717562""","=""0.000000004""","=""389.012717543""","=""0.000000005""","=""0.000000019""","=""25706.1004667""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.983849971137""","=""2s""","=""2S""","=""1/2""","=""8d""","=""2D""","=""3/2""",2,4,E2,
"=""389.012795519""","=""0.000000005""","=""389.012795501""","=""0.000000005""","=""0.000000018""","=""25706.0953152""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""0.983849924193""","=""2s""","=""2S""","=""1/2""","=""8s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""389.012803918""","=""0.000000009""","=""""","=""25706.0947590""","=""""","=""1.2026e+06""","=""2.7284e-03""","=""6.9883e-02""","=""-2.26307""",AAA,"=""0.7495987475945""","=""[0.983849919125]""","=""2s""","=""2S""","=""1/2""","=""8p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""389.01506""","=""0.00009""","=""""","=""25705.945""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""389.0166""","=""0.0006""","=""389.01577""","=""0.00021""","=""0.0008""","=""25705.84""","=""70000""","=""2.2148e+05""","=""8.0397e-03""","=""8.2370e-01""","=""-1.19167""",AAA,"=""0.74960060""","=""0.983849989""","=""2""","=""""","=""""","=""8""","=""""","=""""",8,128,,
"=""""","=""""","=""389.017691799""","=""0.000000008""","=""""","=""25705.7717703""","=""""","=""2.0523e+06""","=""6.9844e-03""","=""3.5779e-01""","=""-1.55381""",AAA,"=""0.749601760263""","=""0.9838499885037""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""389.01769""","=""0.00003""","=""""","=""25705.7717""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""389.017720639""","=""0.000000008""","=""""","=""25705.7698646""","=""""","=""3.4205e+05""","=""7.7604e-04""","=""3.9755e-02""","=""-2.50805""",AAA,"=""0.749601760263""","=""0.983849971137""","=""2p""","=""2P*""","=""3/2""","=""8d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""389.017798599""","=""0.000000008""","=""""","=""25705.7647131""","=""""","=""2.0363e+05""","=""2.3100e-04""","=""1.1834e-02""","=""-3.03433""",AAA,"=""0.749601760263""","=""0.983849924193""","=""2p""","=""2P*""","=""3/2""","=""8s""","=""2S""","=""1/2""",4,2,,
"=""""","=""""","=""397.1164910""","=""0.0000004""","=""""","=""25181.527909""","=""""","=""2.6093e+06""","=""1.2338e-02""","=""3.2261e-01""","=""-1.60772""",AAA,"=""0.749598426045""","=""[0.97906939271]""","=""2p""","=""2P*""","=""1/2""","=""7d""","=""2D""","=""3/2""",2,4,,
"=""""","=""""","=""397.1166123""","=""0.0000006""","=""""","=""25181.52022""","=""""","=""1.5289e+05""","=""3.6147e-04""","=""9.4514e-03""","=""-3.14090""",AAA,"=""0.749598426045""","=""[0.9790693226]""","=""2p""","=""2P*""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,,
"=""""","=""""","=""397.11679""","=""0.00009""","=""""","=""25181.509""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""397.1170473""","=""0.0000006""","=""""","=""25181.49263""","=""""","=""1.7972e+06""","=""8.4981e-03""","=""2.2220e-01""","=""-1.76965""",AAA,"=""0.7495987475945""","=""[0.9790693928]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""3/2""",2,4,,
"=""""","=""""","=""397.1171687""","=""0.0000006""","=""""","=""25181.48493""","=""""","=""""","=""""","=""""","=""""",,"=""0.7495987475945""","=""[0.9790693226]""","=""2s""","=""2S""","=""1/2""","=""7s""","=""2S""","=""1/2""",2,2,M1,
"=""""","=""""","=""397.1171818""","=""0.0000006""","=""""","=""25181.48410""","=""""","=""1.7972e+06""","=""4.2490e-03""","=""1.1110e-01""","=""-2.07068""",AAA,"=""0.7495987475945""","=""[0.9790693151]""","=""2s""","=""2S""","=""1/2""","=""7p""","=""2P*""","=""1/2""",2,2,,
"=""""","=""""","=""397.11951""","=""0.00009""","=""""","=""25181.337""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""397.1198""","=""0.0006""","=""397.12020""","=""0.00022""","=""-0.0004""","=""25181.32""","=""30000""","=""4.3889e+05""","=""1.2711e-02""","=""1.3295e+00""","=""-0.99272""",AAA,"=""0.74960060""","=""0.979069427""","=""2""","=""""","=""""","=""7""","=""""","=""""",8,98,,
"=""""","=""""","=""397.1222163""","=""0.0000004""","=""""","=""25181.164865""","=""""","=""3.1311e+06""","=""1.1104e-02""","=""5.8070e-01""","=""-1.35245""",AAA,"=""0.749601760263""","=""[0.97906941863]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""5/2""",4,6,,
"=""""","=""""","=""397.12223""","=""0.00003""","=""""","=""25181.1642""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",1,1,,
"=""""","=""""","=""397.1222611""","=""0.0000004""","=""""","=""25181.162021""","=""""","=""5.2183e+05""","=""1.2338e-03""","=""6.4520e-02""","=""-2.30670""",AAA,"=""0.749601760263""","=""[0.97906939271]""","=""2p""","=""2P*""","=""3/2""","=""7d""","=""2D""","=""3/2""",4,4,,
"=""""","=""""","=""397.1223825""","=""0.0000006""","=""""","=""25181.15433""","=""""","=""3.0581e+05""","=""3.6152e-04""","=""1.8905e-02""","=""-2.83981""",AAA,"=""0.749601760263""","=""[0.9790693226]""","=""2p""","=""2P*""","=""3/2""","=""7s""","=""2S""","=""1/2""",4,2,,
