element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),fik,S(a.u.),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
O,4,"=""""","=""""","=""51.6415""","=""""","=""""","=""2.43e+07""","=""9.72e-04""","=""6.61e-03""",C+,"=""2.633776""","=""4.398377""","=""2p3""","=""2P*""","=""3/2""","=""2s.2p.(3P*).3p""","=""2D""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,2,"=""51.7937""","=""""","=""51.79292""","=""""","=""20*""","=""9.35e+08""","=""1.88e-02""","=""1.28e-01""",C+,"=""0.3687716""","=""2.1282149""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",4,2,,"=""T6172n""","=""L3492""",
O,2,"=""51.7937""","=""""","=""51.79345""","=""""","=""20*""","=""1.82e+09""","=""7.32e-02""","=""2.50e-01""",C+,"=""0.3687898""","=""2.1282149""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""1/2""",2,2,,"=""T6172n""","=""L3492""",
O,2,"=""51.8242""","=""""","=""51.82354""","=""""","=""25*""","=""2.07e+09""","=""8.33e-02""","=""5.69e-01""",C+,"=""0.3687716""","=""2.1271755""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",4,4,,"=""T6172n""","=""L3492""",
O,2,"=""51.8242""","=""""","=""51.82407""","=""""","=""25*""","=""6.05e+08""","=""4.87e-02""","=""1.66e-01""",D,"=""0.3687898""","=""2.1271755""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""2P""","=""3/2""",2,4,,"=""T6172n""","=""L3492""",
O,6,"=""""","=""""","=""51.9610""","=""""","=""""","=""1.67e+10""","=""1.01e+00""","=""6.94e+00""",B,"=""6.147642""","=""7.901393""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4f""","=""2F*""","=""5/2""",4,6,,"=""T3127LS""","=""""",
O,6,"=""""","=""""","=""51.9723""","=""""","=""""","=""1.79e+10""","=""9.66e-01""","=""9.92e+00""",B,"=""6.148107""","=""7.901478""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4f""","=""2F*""","=""7/2""",6,8,,"=""T3127LS""","=""""",
O,6,"=""""","=""""","=""51.9748""","=""""","=""""","=""1.19e+09""","=""4.82e-02""","=""4.95e-01""",B,"=""6.148107""","=""7.901393""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4f""","=""2F*""","=""5/2""",6,6,,"=""T3127LS""","=""""",
O,2,"=""""","=""""","=""51.99443""","=""""","=""""","=""1.18e+06""","=""7.17e-05""","=""4.91e-04""",C,"=""0.3687716""","=""2.12139596""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""2F""","=""5/2""",4,6,,"=""T6172""","=""""",
O,2,"=""""","=""""","=""52.00804""","=""""","=""""","=""4.15e+06""","=""1.68e-04""","=""1.15e-03""",C,"=""0.3687716""","=""2.12093744""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",4,4,,"=""T6172""","=""""",
O,2,"=""""","=""""","=""52.00858""","=""""","=""""","=""8.03e+05""","=""6.51e-05""","=""2.23e-04""",C,"=""0.3687898""","=""2.12093744""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""3/2""",2,4,,"=""T6172""","=""""",
O,2,"=""""","=""""","=""52.01733""","=""""","=""""","=""3.49e+06""","=""7.08e-05""","=""4.85e-04""",C,"=""0.3687716""","=""2.12062452""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",4,2,,"=""T6172""","=""""",
O,2,"=""""","=""""","=""52.01787""","=""""","=""""","=""6.82e+06""","=""2.77e-04""","=""9.48e-04""",C,"=""0.3687898""","=""2.12062452""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4D""","=""1/2""",2,2,,"=""T6172""","=""""",
O,2,"=""""","=""""","=""52.04742""","=""""","=""""","=""2.99e+06""","=""1.21e-04""","=""4.16e-04""",C,"=""0.3687898""","=""2.11962987""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""1/2""",2,2,,"=""T6172""","=""""",
O,2,"=""""","=""""","=""52.06491""","=""""","=""""","=""6.62e+06""","=""2.69e-04""","=""1.84e-03""",C,"=""0.3687716""","=""2.11902348""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""3/2""",4,4,,"=""T6172""","=""""",
O,2,"=""""","=""""","=""52.08477""","=""""","=""""","=""1.42e+06""","=""8.66e-05""","=""5.94e-04""",C,"=""0.3687716""","=""2.11835621""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(3P).3d""","=""4P""","=""5/2""",4,6,,"=""T6172""","=""""",
O,7,"=""""","=""""","=""52.3753""","=""0.0021""","=""""","=""9.837e+08""","=""1.215e-01""","=""2.095e-01""",AA,"=""(51.241134)""","=""(52.981014)""","=""1s.4s""","=""1S""","=""0""","=""1s.6p""","=""1P*""","=""1""",1,3,,"=""T5997""","=""""",
O,3,"=""52.5795""","=""""","=""52.5794""","=""""","=""1000""","=""9.60e+09""","=""2.39e-01""","=""2.07e+00""",A,"=""0.1847436""","=""1.917869""","=""2s2.2p2""","=""1D""","=""2""","=""2s.2p3""","=""1P*""","=""1""",5,3,,"=""T5376,T4026,T4899,T5817""","=""L3492""",
O,2,"=""52.59267""","=""""","=""52.59243""","=""""","=""15*""","=""6.21e+08""","=""1.29e-02""","=""8.92e-02""",D,"=""0.3687716""","=""2.1014679""","=""2s2.2p3""","=""2P*""","=""3/2""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""",4,2,,"=""T6172n""","=""L6915""",
O,2,"=""52.59267""","=""""","=""52.59298""","=""""","=""15*""","=""3.24e+08""","=""1.34e-02""","=""4.65e-02""",D,"=""0.3687898""","=""2.1014679""","=""2s2.2p3""","=""2P*""","=""1/2""","=""2s2.2p2.(1S).3s""","=""2S""","=""1/2""",2,2,,"=""T6172n""","=""L6915""",
O,4,"=""""","=""""","=""52.8529""","=""""","=""""","=""1.95e+08""","=""1.63e-02""","=""5.68e-02""",B,"=""3.258821""","=""4.982979""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.5p""","=""2P*""","=""3/2""",2,4,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""52.8572""","=""""","=""""","=""1.95e+08""","=""8.17e-03""","=""2.84e-02""",B,"=""3.258821""","=""4.982839""","=""2s2.3s""","=""2S""","=""1/2""","=""2s2.5p""","=""2P*""","=""1/2""",2,2,,"=""T5109LS""","=""""",
O,5,"=""""","=""""","=""52.9167""","=""""","=""""","=""1.27e+09""","=""8.89e-02""","=""4.64e-01""",B,"=""4.984382""","=""6.706462""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""2""",3,5,,"=""T5633LS""","=""""",
O,6,"=""""","=""""","=""52.9229""","=""""","=""""","=""3.84e+08""","=""3.22e-02""","=""1.12e-01""",A,"=""7.867276""","=""9.58915""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.8d""","=""2D""","=""3/2""",2,4,,"=""T5118LS""","=""""",
O,5,"=""""","=""""","=""52.9243""","=""""","=""""","=""1.27e+09""","=""5.33e-02""","=""2.79e-01""",B,"=""4.984382""","=""6.706215""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""1""",3,3,,"=""T5633LS""","=""""",
O,5,"=""""","=""""","=""52.9272""","=""""","=""""","=""1.27e+09""","=""1.78e-02""","=""9.29e-02""",B,"=""4.984382""","=""6.706120""","=""1s2.2s.3s""","=""3S""","=""1""","=""1s2.2s.4p""","=""3P*""","=""0""",3,1,,"=""T5633LS""","=""""",
O,6,"=""""","=""""","=""52.9371""","=""""","=""""","=""4.61e+08""","=""2.91e-02""","=""2.03e-01""",A,"=""7.867859""","=""9.58927""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""5/2""",4,6,,"=""T5118LS""","=""""",
O,6,"=""""","=""""","=""52.9408""","=""""","=""""","=""7.68e+07""","=""3.23e-03""","=""2.25e-02""",A,"=""7.867859""","=""9.58915""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8d""","=""2D""","=""3/2""",4,4,,"=""T5118LS""","=""""",
O,6,"=""""","=""""","=""52.9740""","=""""","=""""","=""6.04e+07""","=""2.54e-03""","=""1.77e-02""",B+,"=""6.147642""","=""7.867859""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4p""","=""2P*""","=""3/2""",4,4,,"=""T5118LS""","=""""",
O,6,"=""""","=""""","=""52.9883""","=""""","=""""","=""5.44e+08""","=""1.53e-02""","=""1.60e-01""",B+,"=""6.148107""","=""7.867859""","=""1s2.3d""","=""2D""","=""5/2""","=""1s2.4p""","=""2P*""","=""3/2""",6,4,,"=""T5118LS""","=""""",
O,6,"=""""","=""""","=""52.9919""","=""""","=""""","=""6.04e+08""","=""1.27e-02""","=""8.87e-02""",B+,"=""6.147642""","=""7.867276""","=""1s2.3d""","=""2D""","=""3/2""","=""1s2.4p""","=""2P*""","=""1/2""",4,2,,"=""T5118LS""","=""""",
O,7,"=""""","=""""","=""53.471""","=""0.003""","=""""","=""2.130e+08""","=""5.463e-03""","=""4.801e-02""",AA,"=""(51.27679)""","=""(52.981014)""","=""1s.4d""","=""1D""","=""2""","=""1s.6p""","=""1P*""","=""1""",5,3,,"=""T5997""","=""""",
O,6,"=""""","=""""","=""53.4162""","=""""","=""""","=""9.93e+07""","=""4.25e-03""","=""1.49e-02""",B+,"=""7.867276""","=""[9.57325]""","=""1s2.4p""","=""2P*""","=""1/2""","=""1s2.8s""","=""2S""","=""1/2""",2,2,,"=""T5118LS""","=""""",
O,6,"=""""","=""""","=""53.4344""","=""""","=""""","=""1.98e+08""","=""4.24e-03""","=""2.98e-02""",B+,"=""7.867859""","=""[9.57325]""","=""1s2.4p""","=""2P*""","=""3/2""","=""1s2.8s""","=""2S""","=""1/2""",4,2,,"=""T5118LS""","=""""",
O,3,"=""""","=""""","=""53.4929""","=""""","=""""","=""1.21e+04""","=""8.65e-07""","=""4.57e-06""",B,"=""0.00103135""","=""1.704561""","=""2s2.2p2""","=""3P""","=""1""","=""2s.2p3""","=""1D*""","=""2""",3,5,,"=""T4026,T4899""","=""""",
O,3,"=""""","=""""","=""53.5481""","=""""","=""""","=""2.58e+05""","=""1.11e-05""","=""9.78e-05""",B,"=""0.00279006""","=""1.704561""","=""2s2.2p2""","=""3P""","=""2""","=""2s.2p3""","=""1D*""","=""2""",5,5,,"=""T4026,T4899""","=""""",
O,6,"=""""","=""""","=""53.5955""","=""""","=""""","=""1.48e+09""","=""6.37e-02""","=""2.25e-01""",A,"=""6.070070""","=""7.77034""","=""1s2.3p""","=""2P*""","=""1/2""","=""1s2.4s""","=""2S""","=""1/2""",2,2,,"=""T5118LS""","=""""",
O,6,"=""""","=""""","=""53.6405""","=""""","=""""","=""2.96e+09""","=""6.38e-02""","=""4.51e-01""",A,"=""6.071497""","=""7.77034""","=""1s2.3p""","=""2P*""","=""3/2""","=""1s2.4s""","=""2S""","=""1/2""",4,2,,"=""T5118LS""","=""""",
O,2,"=""53.78319""","=""""","=""53.78320""","=""""","=""45""","=""5.73e+09""","=""1.24e-01""","=""8.80e-01""",B+,"=""0.2444981""","=""1.9388323""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s.2p4""","=""2P""","=""1/2""",4,2,,"=""T6172n""","=""L6915""",
O,2,"=""53.82636""","=""""","=""53.82616""","=""""","=""50""","=""5.18e+09""","=""1.50e-01""","=""1.59e+00""",B+,"=""0.2443157""","=""1.9372974""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s.2p4""","=""2P""","=""3/2""",6,4,,"=""T6172n""","=""L6915""",
O,7,"=""""","=""""","=""53.817""","=""0.004""","=""""","=""2.744e+08""","=""3.973e-03""","=""2.112e-02""",AA,"=""(51.27465)""","=""(52.967927)""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""0""",3,1,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""53.816""","=""0.004""","=""""","=""6.859e+07""","=""2.980e-03""","=""1.584e-02""",AA,"=""(51.27465)""","=""(52.967957)""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""1""",3,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""53.810""","=""0.004""","=""""","=""2.744e+06""","=""1.987e-04""","=""1.056e-03""",AA,"=""(51.27465)""","=""(52.968141)""","=""1s.4d""","=""3D""","=""1""","=""1s.6p""","=""3P*""","=""2""",3,5,,"=""T5997LS""","=""""",
O,2,"=""53.8318""","=""""","=""53.83196""","=""""","=""35bl""","=""5.87e+08""","=""2.55e-02""","=""1.81e-01""",B+,"=""0.2444981""","=""1.9372974""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s.2p4""","=""2P""","=""3/2""",4,4,,"=""T6172n""","=""L6915""",
O,7,"=""""","=""""","=""53.817""","=""0.004""","=""""","=""2.056e+08""","=""5.361e-03""","=""4.752e-02""",AA,"=""(51.27469)""","=""(52.967957)""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""1""",5,3,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""53.811""","=""0.004""","=""""","=""4.113e+07""","=""1.788e-03""","=""1.584e-02""",AA,"=""(51.27469)""","=""(52.968141)""","=""1s.4d""","=""3D""","=""2""","=""1s.6p""","=""3P*""","=""2""",5,5,,"=""T5997LS""","=""""",
O,7,"=""""","=""""","=""53.8610""","=""0.0023""","=""""","=""2.075e+09""","=""1.505e-01""","=""8.012e-01""",AA,"=""(51.286318)""","=""(52.978204)""","=""1s.4p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T5997""","=""""",
O,2,"=""53.90855""","=""""","=""53.908610""","=""""","=""60""","=""9.83e+08""","=""6.42e-02""","=""4.56e-01""",B+,"=""0.0000000""","=""1.69039240""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3s""","=""4P""","=""5/2""",4,6,,"=""T6172n""","=""L6915""",
O,2,"=""53.95489""","=""""","=""53.954726""","=""""","=""50""","=""9.81e+08""","=""4.28e-02""","=""3.04e-01""",B+,"=""0.0000000""","=""1.68894761""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3s""","=""4P""","=""3/2""",4,4,,"=""T6172n""","=""L6915""",
O,2,"=""53.98544""","=""""","=""53.985396""","=""""","=""45""","=""9.81e+08""","=""2.14e-02""","=""1.52e-01""",B+,"=""0.0000000""","=""1.68798808""","=""2s2.2p3""","=""4S*""","=""3/2""","=""2s2.2p2.(3P).3s""","=""4P""","=""1/2""",4,2,,"=""T6172n""","=""L6915""",
O,7,"=""""","=""""","=""53.817""","=""0.004""","=""""","=""2.285e+08""","=""7.132e-03""","=""8.873e-02""",AA,"=""(51.27487)""","=""(52.968141)""","=""1s.4d""","=""3D""","=""3""","=""1s.6p""","=""3P*""","=""2""",7,5,,"=""T5997LS""","=""""",
O,6,"=""""","=""""","=""53.9889""","=""""","=""""","=""4.21e+05""","=""1.84e-05""","=""1.96e-04""",B,"=""7.901393""","=""9.58927""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.8d""","=""2D""","=""5/2""",6,6,,"=""T3127LS""","=""""",
O,6,"=""""","=""""","=""53.9916""","=""""","=""""","=""8.41e+06""","=""2.76e-04""","=""3.92e-03""",B,"=""7.901478""","=""9.58927""","=""1s2.4f""","=""2F*""","=""7/2""","=""1s2.8d""","=""2D""","=""5/2""",8,6,,"=""T3127LS""","=""""",
O,6,"=""""","=""""","=""53.9927""","=""""","=""""","=""8.83e+06""","=""2.57e-04""","=""2.74e-03""",B,"=""7.901393""","=""9.58915""","=""1s2.4f""","=""2F*""","=""5/2""","=""1s2.8d""","=""2D""","=""3/2""",6,4,,"=""T3127LS""","=""""",
O,4,"=""""","=""""","=""54.2866""","=""""","=""""","=""4.56e+08""","=""4.03e-02""","=""1.44e-01""",B,"=""3.555410""","=""5.234033""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",2,4,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""54.3122""","=""""","=""""","=""5.47e+08""","=""3.63e-02""","=""2.60e-01""",B,"=""3.556201""","=""5.234033""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""54.3122""","=""""","=""""","=""9.11e+07""","=""4.03e-03""","=""2.88e-02""",B,"=""3.556201""","=""5.234033""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,4,"=""55.3330""","=""""","=""55.3329""","=""""","=""700""","=""1.22e+09""","=""1.12e-01""","=""4.08e-01""",B,"=""0.000000""","=""1.646880""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""3/2""",2,4,,"=""T5109LS""","=""L648""",
O,4,"=""55.4075""","=""""","=""55.4076""","=""""","=""775""","=""4.86e+09""","=""2.24e-01""","=""8.16e-01""",B,"=""0.000000""","=""1.644662""","=""2s2.2p""","=""2P*""","=""1/2""","=""2s.2p2""","=""2P""","=""1/2""",2,2,,"=""T5109LS""","=""L648""",
O,3,"=""""","=""""","=""55.4270""","=""""","=""""","=""1.24e+08""","=""4.08e-03""","=""5.21e-02""",C,"=""1.093750""","=""2.7378340""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*).3p""","=""3P""","=""2""",7,5,,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""""","=""55.4357""","=""""","=""""","=""2.22e+07""","=""1.02e-03""","=""9.33e-03""",D,"=""1.094007""","=""2.7378340""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*).3p""","=""3P""","=""2""",5,5,,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""""","=""55.4372""","=""""","=""""","=""1.48e+06""","=""1.14e-04""","=""6.22e-04""",D,"=""1.094051""","=""2.7378340""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*).3p""","=""3P""","=""2""",3,5,,"=""T5376,T5791,LS""","=""""",
O,4,"=""55.4514""","=""""","=""55.4513""","=""""","=""850""","=""6.06e+09""","=""2.79e-01""","=""2.04e+00""",B,"=""0.003517""","=""1.646880""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""3/2""",4,4,,"=""T5109LS""","=""L648""",
O,3,"=""""","=""""","=""55.4759""","=""""","=""""","=""1.11e+08""","=""3.07e-03""","=""2.81e-02""",D,"=""1.094007""","=""2.7366439""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*).3p""","=""3P""","=""1""",5,3,,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""""","=""55.4773""","=""""","=""""","=""3.69e+07""","=""1.70e-03""","=""9.33e-03""",D,"=""1.094051""","=""2.7366439""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*).3p""","=""3P""","=""1""",3,3,,"=""T5376,T5791,LS""","=""""",
O,3,"=""""","=""""","=""55.5026""","=""""","=""""","=""1.48e+08""","=""2.28e-03""","=""1.25e-02""",D,"=""1.094051""","=""2.7358964""","=""2s.2p3""","=""3D*""","=""1""","=""2s2.2p.(2P*).3p""","=""3P""","=""0""",3,1,,"=""T5376,T5791,LS""","=""""",
O,2,"=""55.5059""","=""""","=""55.50555""","=""""","=""25*""","=""9.67e+07""","=""2.98e-03""","=""3.26e-02""",B,"=""0.2443157""","=""1.8860742""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",6,4,,"=""T6172n""","=""L3492,L6915""",
O,2,"=""55.5059""","=""""","=""55.50587""","=""""","=""25*""","=""1.04e+09""","=""4.80e-02""","=""5.27e-01""",B,"=""0.2443157""","=""1.8860647""","=""2s2.2p3""","=""2D*""","=""5/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",6,6,,"=""T6172n""","=""L3492,L6915""",
O,2,"=""55.5118""","=""""","=""55.51172""","=""""","=""20*""","=""1.01e+09""","=""4.67e-02""","=""3.41e-01""",B,"=""0.2444981""","=""1.8860742""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""3/2""",4,4,,"=""T6172n""","=""L3492,L6915""",
O,2,"=""55.5118""","=""""","=""55.51204""","=""""","=""20*""","=""8.01e+07""","=""5.55e-03""","=""4.06e-02""",B,"=""0.2444981""","=""1.8860647""","=""2s2.2p3""","=""2D*""","=""3/2""","=""2s2.2p2.(1D).3s""","=""2D""","=""5/2""",4,6,,"=""T6172n""","=""L3492,L6915""",
O,4,"=""55.5261""","=""""","=""55.5263""","=""""","=""700""","=""2.41e+09""","=""5.57e-02""","=""4.07e-01""",B,"=""0.003517""","=""1.644662""","=""2s2.2p""","=""2P*""","=""3/2""","=""2s.2p2""","=""2P""","=""1/2""",4,2,,"=""T5109LS""","=""L648""",
O,4,"=""""","=""""","=""55.6203""","=""""","=""""","=""3.68e+07""","=""1.71e-03""","=""6.25e-03""",C+,"=""4.126277""","=""5.76465""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2p2.(3P).3d""","=""2P""","=""1/2""",2,2,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""55.6733""","=""""","=""""","=""9.16e+06""","=""8.51e-04""","=""3.12e-03""",C+,"=""4.126277""","=""5.76309""","=""2s.2p.(3P*).3s""","=""2P*""","=""1/2""","=""2p2.(3P).3d""","=""2P""","=""3/2""",2,4,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""55.7024""","=""""","=""""","=""1.83e+07""","=""4.26e-04""","=""3.12e-03""",C+,"=""4.128691""","=""5.76465""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2p2.(3P).3d""","=""2P""","=""1/2""",4,2,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""55.7555""","=""""","=""""","=""4.56e+07""","=""2.13e-03""","=""1.56e-02""",B,"=""4.128691""","=""5.76309""","=""2s.2p.(3P*).3s""","=""2P*""","=""3/2""","=""2p2.(3P).3d""","=""2P""","=""3/2""",4,4,,"=""T5109LS""","=""""",
O,5,"=""""","=""""","=""56.1959""","=""""","=""""","=""1.22e+09""","=""9.63e-02""","=""5.34e-01""",B,"=""5.951304""","=""7.572893""","=""1s2.2p.(2P*<1/2>).3s""","=""3P*""","=""1""","=""1s2.2p.(2P*<1/2>).4p""","=""3D""","=""2""",3,5,,"=""T5633LS""","=""""",
O,5,"=""""","=""""","=""56.1959""","=""""","=""""","=""9.01e+08""","=""1.28e-01""","=""2.37e-01""",B,"=""5.949827""","=""7.571417""","=""1s2.2p.(2P*<1/2>).3s""","=""3P*""","=""0""","=""1s2.2p.(2P*<1/2>).4p""","=""3D""","=""1""",1,3,,"=""T5633LS""","=""""",
O,5,"=""""","=""""","=""56.2080""","=""""","=""""","=""1.62e+09""","=""1.07e-01""","=""9.94e-01""",B,"=""5.954431""","=""7.575673""","=""1s2.2p.(2P*<3/2>).3s""","=""3P*""","=""2""","=""1s2.2p.(2P*<3/2>).4p""","=""3D""","=""3""",5,7,,"=""T5633LS""","=""""",
O,5,"=""""","=""""","=""56.2471""","=""""","=""""","=""6.76e+08""","=""3.21e-02""","=""1.78e-01""",B,"=""5.951304""","=""7.571417""","=""1s2.2p.(2P*<1/2>).3s""","=""3P*""","=""1""","=""1s2.2p.(2P*<1/2>).4p""","=""3D""","=""1""",3,3,,"=""T5633LS""","=""""",
O,5,"=""""","=""""","=""56.3045""","=""""","=""""","=""4.03e+08""","=""1.92e-02""","=""1.78e-01""",B,"=""5.954431""","=""7.572893""","=""1s2.2p.(2P*<3/2>).3s""","=""3P*""","=""2""","=""1s2.2p.(2P*<1/2>).4p""","=""3D""","=""2""",5,5,,"=""T5633LS""","=""""",
O,5,"=""""","=""""","=""56.3559""","=""""","=""""","=""4.47e+07""","=""1.28e-03""","=""1.18e-02""",B,"=""5.954431""","=""7.571417""","=""1s2.2p.(2P*<3/2>).3s""","=""3P*""","=""2""","=""1s2.2p.(2P*<1/2>).4p""","=""3D""","=""1""",5,3,,"=""T5633LS""","=""""",
O,4,"=""""","=""""","=""56.5213""","=""""","=""""","=""4.53e+07""","=""2.89e-03""","=""3.23e-02""",B,"=""3.823226""","=""5.43548""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""7/2""",6,8,,"=""T5109LS""","=""""",
O,3,"=""""","=""""","=""56.5565""","=""""","=""""","=""2.58e+05""","=""7.42e-06""","=""6.91e-05""",C+,"=""0.1847436""","=""1.795995""","=""2s2.2p2""","=""1D""","=""2""","=""2s.2p3""","=""3S*""","=""1""",5,3,,"=""T4026,T4899""","=""""",
O,4,"=""""","=""""","=""56.5735""","=""""","=""""","=""4.21e+07""","=""3.03e-03""","=""2.26e-02""",B,"=""3.823074""","=""5.43384""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",4,6,,"=""T5109LS""","=""""",
O,4,"=""""","=""""","=""56.5789""","=""""","=""""","=""3.01e+06""","=""1.44e-04""","=""1.61e-03""",C,"=""3.823226""","=""5.43384""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2F*""","=""5/2""",6,6,,"=""T5109LS""","=""""",
O,5,"=""""","=""""","=""56.6237""","=""""","=""""","=""1.19e+09""","=""1.72e-01""","=""3.20e-01""",B,"=""5.114727""","=""6.724065""","=""1s2.2s.3s""","=""1S""","=""0""","=""1s2.2s.4p""","=""1P*""","=""1""",1,3,,"=""T5633""","=""""",
O,3,"=""""","=""""","=""57.4060""","=""""","=""""","=""2.97e+07""","=""1.47e-03""","=""1.94e-02""",C,"=""1.093750""","=""2.6811579""","=""2s.2p3""","=""3D*""","=""3""","=""2s2.2p.(2P*).3p""","=""3D""","=""3""",7,7,,"=""T5376,T5791,LS""","=""""",
O,4,"=""""","=""""","=""57.4138""","=""""","=""""","=""1.92e+07""","=""1.42e-03""","=""1.08e-02""",B,"=""3.823074""","=""5.41027""","=""2s2.3d""","=""2D""","=""3/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""",4,6,,"=""T5109LS""","=""""",
O,3,"=""""","=""""","=""57.4153""","=""""","=""""","=""3.72e+06""","=""2.57e-04""","=""2.43e-03""",D,"=""1.094007""","=""2.6811579""","=""2s.2p3""","=""3D*""","=""2""","=""2s2.2p.(2P*).3p""","=""3D""","=""3""",5,7,,"=""T5376,T5791,LS""","=""""",
O,4,"=""""","=""""","=""57.4193""","=""""","=""""","=""2.68e+08""","=""1.32e-02""","=""1.50e-01""",B,"=""3.823226""","=""5.41027""","=""2s2.3d""","=""2D""","=""5/2""","=""2s.2p.(3P*).4d""","=""2D*""","=""5/2""",6,6,,"=""T5109LS""","=""""",
